compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
Collinsella,0.004109844946758827,0.0,2629,1587,Collinsella,,Cancer1
Desulfovibrio,0.002802167009153746,0.0,1739,1384,Desulfovibrio,,Cancer1
Dorea,0.01475807958154306,0.0,2368,1614,Dorea,,Cancer1
Enterococcus,0.0016813002054922473,0.0,2570,1790,Enterococcus,,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.0,2826,1639,Erysipelatoclostridium,,Cancer1
Faecalibacterium,0.014571268447599478,0.0,1986,1472,Faecalibacterium,,Cancer1
Gemella,0.0003736222678871661,0.0,1127,971,Gemella,,Cancer1
Haemophilus,0.005604334018307492,0.0,1504,1246,Haemophilus,,Cancer1
Lachnoclostridium,0.0033626004109844946,0.0,3174,1970,Lachnoclostridium,,Cancer1
Lachnospira,0.003923033812815244,0.0,1163,1052,Lachnospira,,Cancer1
Listeria,0.0018681113394358306,0.0,1703,1336,Listeria,,Cancer1
Mogibacterium,0.0003736222678871661,0.0,955,913,Mogibacterium,,Cancer1
Neisseria,0.0033626004109844946,0.0,1329,1106,Neisseria,,Cancer1
Odoribacter,0.0076592564916869044,0.0,2526,1594,Odoribacter,,Cancer1
Parabacteroides,0.0110218569026714,0.0,2870,1747,Parabacteroides,,Cancer1
Parasutterella,0.003736222678871661,3.938098348048199,1080,1019,Parasutterella,,Cancer1
Phascolarctobacterium,0.04950495049504951,0.0,1019,945,Phascolarctobacterium,,Cancer1
Pseudomonas,0.0014944890715486644,0.0,2184,1588,Pseudomonas,,Cancer1
Roseburia,0.025406314216327296,0.0,2357,1567,Roseburia,,Cancer1
Staphylococcus,0.00429665608070241,0.0,2002,1482,Staphylococcus,,Cancer1
Streptococcus,0.012703157108163648,0.0,2896,1822,Streptococcus,,Cancer1
Subdoligranulum,0.03512049318139362,-1.865174681370263e-13,1731,1301,Subdoligranulum,,Cancer1
Veillonella,0.01232953484027648,0.0,1832,1405,Veillonella,,Cancer1
Acinetobacter,0.0022417336073229967,0.30716585494234755,1867,1422,Acinetobacter,1.0,Cancer1
Actinomyces,0.0020549224733794136,2.0271798065122033e-05,2445,1643,Actinomyces,1.0,Cancer1
Akkermansia,0.04539510554829068,1.5336811081860004e-07,2274,1386,Akkermansia,1.0,Cancer1
Alistipes,0.04838408369138801,9.387818208513606,2650,1613,Alistipes,1.0,Cancer1
Anaerostipes,0.015505324117317391,6.960214249442996e-07,2034,1491,Anaerostipes,1.0,Cancer1
Atopobium,0.0007472445357743322,3.5594584464010336e-05,1192,1035,Atopobium,1.0,Cancer1
Bacillus,0.0016813002054922473,3.680840538894823e-06,2334,1654,Bacillus,1.0,Cancer1
Bacteroides,0.5538950121427237,7.026019847553873e-08,3307,1887,Bacteroides,1.0,Cancer1
Bifidobacterium,0.01475807958154306,0.8459905753669702,3108,1734,Bifidobacterium,1.0,Cancer1
Bilophila,0.0005604334018307492,1.1096058456703149e-05,1386,1194,Bilophila,1.0,Cancer1
Blautia,0.08630674388193538,1.4720826707250646e-07,3108,1818,Blautia,1.0,Cancer1
Butyricicoccus,0.005791145152251075,1.8659496364559848e-06,1915,1442,Butyricicoccus,1.0,Cancer1
Butyricimonas,0.0020549224733794136,0.398677330979865,1322,1145,Butyricimonas,1.0,Cancer1
Collinsella,0.004109844946758827,2.357095203523987e-06,2629,1587,Collinsella,1.0,Cancer1
Desulfovibrio,0.002802167009153746,1.282372121839956e-05,1739,1384,Desulfovibrio,1.0,Cancer1
Dorea,0.01475807958154306,8.259106092633875e-07,2368,1614,Dorea,1.0,Cancer1
Enterococcus,0.0016813002054922473,3.643195404223773e-06,2570,1790,Enterococcus,1.0,Cancer1
Erysipelatoclostridium,0.0005604334018307492,3.030705003745918e-05,2826,1639,Erysipelatoclostridium,1.0,Cancer1
Faecalibacterium,0.014571268447599478,6.172532535513286e-07,1986,1472,Faecalibacterium,1.0,Cancer1
Gemella,0.0003736222678871661,3.748695536928648e-05,1127,971,Gemella,1.0,Cancer1
Haemophilus,0.005604334018307492,1.0872804619825396,1504,1246,Haemophilus,1.0,Cancer1
Lachnoclostridium,0.0033626004109844946,3.3527175397068586e-06,3174,1970,Lachnoclostridium,1.0,Cancer1
Lachnospira,0.003923033812815244,2.7794728033422813e-06,1163,1052,Lachnospira,1.0,Cancer1
Listeria,0.0018681113394358306,4.898514104235685e-06,1703,1336,Listeria,1.0,Cancer1
Mogibacterium,0.0003736222678871661,1.909301949104006e-05,955,913,Mogibacterium,1.0,Cancer1
Neisseria,0.0033626004109844946,0.6523947209479689,1329,1106,Neisseria,1.0,Cancer1
Odoribacter,0.0076592564916869044,1.48595135159531,2526,1594,Odoribacter,1.0,Cancer1
Parabacteroides,0.0110218569026714,1.0990108980947686e-05,2870,1747,Parabacteroides,1.0,Cancer1
Parasutterella,0.003736222678871661,0.7248538948838974,1080,1019,Parasutterella,1.0,Cancer1
Phascolarctobacterium,0.04950495049504951,1.0919304858270531e-07,1019,945,Phascolarctobacterium,1.0,Cancer1
Pseudomonas,0.0014944890715486644,0.2899698495807545,2184,1588,Pseudomonas,1.0,Cancer1
Roseburia,0.025406314216327296,3.2239112949458686e-07,2357,1567,Roseburia,1.0,Cancer1
Staphylococcus,0.00429665608070241,2.6539469100765818e-06,2002,1482,Staphylococcus,1.0,Cancer1
Streptococcus,0.012703157108163648,6.011687354531444e-07,2896,1822,Streptococcus,1.0,Cancer1
Subdoligranulum,0.03512049318139362,1.6277441510548834e-07,1731,1301,Subdoligranulum,1.0,Cancer1
Veillonella,0.01232953484027648,3.1875886775266263e-06,1832,1405,Veillonella,1.0,Cancer1
Acinetobacter,0.0022417336073229967,0.2052630121264854,1867,1422,Acinetobacter,0.9,Cancer1
Actinomyces,0.0020549224733794136,0.023382134810856867,2445,1643,Actinomyces,0.9,Cancer1
Akkermansia,0.04539510554829068,2.417649801820337e-06,2274,1386,Akkermansia,0.9,Cancer1
Alistipes,0.04838408369138801,5.372344332608325,2650,1613,Alistipes,0.9,Cancer1
Anaerostipes,0.015505324117317391,2.723855338026661e-05,2034,1491,Anaerostipes,0.9,Cancer1
Atopobium,0.0007472445357743322,0.002651070730830914,1192,1035,Atopobium,0.9,Cancer1
Bacillus,0.0016813002054922473,0.00019182059076986856,2334,1654,Bacillus,0.9,Cancer1
Bacteroides,0.5538950121427237,0.2683167096706094,3307,1887,Bacteroides,0.9,Cancer1
Bifidobacterium,0.01475807958154306,0.9830953692341577,3108,1734,Bifidobacterium,0.9,Cancer1
Bilophila,0.0005604334018307492,0.0006880329047835794,1386,1194,Bilophila,0.9,Cancer1
Blautia,0.08630674388193538,4.3963096721586705e-06,3108,1818,Blautia,0.9,Cancer1
Butyricicoccus,0.005791145152251075,5.2292715889744546e-05,1915,1442,Butyricicoccus,0.9,Cancer1
Butyricimonas,0.0020549224733794136,0.22827565472667274,1322,1145,Butyricimonas,0.9,Cancer1
Collinsella,0.004109844946758827,9.518879601402284e-05,2629,1587,Collinsella,0.9,Cancer1
Desulfovibrio,0.002802167009153746,0.02820765961457963,1739,1384,Desulfovibrio,0.9,Cancer1
Dorea,0.01475807958154306,2.849150711264384e-05,2368,1614,Dorea,0.9,Cancer1
Enterococcus,0.0016813002054922473,0.00020480848218968107,2570,1790,Enterococcus,0.9,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.0021141636995526125,2826,1639,Erysipelatoclostridium,0.9,Cancer1
Faecalibacterium,0.014571268447599478,1.90270821212773e-05,1986,1472,Faecalibacterium,0.9,Cancer1
Gemella,0.0003736222678871661,0.0012572950368941486,1127,971,Gemella,0.9,Cancer1
Haemophilus,0.005604334018307492,0.6222940102287218,1504,1246,Haemophilus,0.9,Cancer1
Lachnoclostridium,0.0033626004109844946,0.00014339249811310474,3174,1970,Lachnoclostridium,0.9,Cancer1
Lachnospira,0.003923033812815244,8.287967473264766e-05,1163,1052,Lachnospira,0.9,Cancer1
Listeria,0.0018681113394358306,0.00023295367900493682,1703,1336,Listeria,0.9,Cancer1
Mogibacterium,0.0003736222678871661,0.0008811139280817964,955,913,Mogibacterium,0.9,Cancer1
Neisseria,0.0033626004109844946,0.3734232572434794,1329,1106,Neisseria,0.9,Cancer1
Odoribacter,0.0076592564916869044,0.8504259328004685,2526,1594,Odoribacter,0.9,Cancer1
Parabacteroides,0.0110218569026714,0.3791700692664338,2870,1747,Parabacteroides,0.9,Cancer1
Parasutterella,0.003736222678871661,0.4148969735441121,1080,1019,Parasutterella,0.9,Cancer1
Phascolarctobacterium,0.04950495049504951,4.4120889586138e-06,1019,945,Phascolarctobacterium,0.9,Cancer1
Pseudomonas,0.0014944890715486644,0.1661260146243925,2184,1588,Pseudomonas,0.9,Cancer1
Roseburia,0.025406314216327296,1.3249770078123393e-05,2357,1567,Roseburia,0.9,Cancer1
Staphylococcus,0.00429665608070241,8.193898604425729e-05,2002,1482,Staphylococcus,0.9,Cancer1
Streptococcus,0.012703157108163648,2.2770493288723326e-05,2896,1822,Streptococcus,0.9,Cancer1
Subdoligranulum,0.03512049318139362,6.9977104223047504e-06,1731,1301,Subdoligranulum,0.9,Cancer1
Veillonella,0.01232953484027648,0.15823219068688035,1832,1405,Veillonella,0.9,Cancer1
Acinetobacter,0.0022417336073229967,0.060519535486347184,1867,1422,Acinetobacter,0.8,Cancer1
Actinomyces,0.0020549224733794136,0.010335337980029084,2445,1643,Actinomyces,0.8,Cancer1
Akkermansia,0.04539510554829068,8.836683874421399e-10,2274,1386,Akkermansia,0.8,Cancer1
Alistipes,0.04838408369138801,1.545028193215786,2650,1613,Alistipes,0.8,Cancer1
Anaerostipes,0.015505324117317391,1.2406825067290564e-10,2034,1491,Anaerostipes,0.8,Cancer1
Atopobium,0.0007472445357743322,0.0017983413556022219,1192,1035,Atopobium,0.8,Cancer1
Bacillus,0.0016813002054922473,6.044311812469623e-11,2334,1654,Bacillus,0.8,Cancer1
Bacteroides,0.5538950121427237,0.5578872441559717,3307,1887,Bacteroides,0.8,Cancer1
Bifidobacterium,0.01475807958154306,0.2878684483757752,3108,1734,Bifidobacterium,0.8,Cancer1
Bilophila,0.0005604334018307492,4.530360632615401e-10,1386,1194,Bilophila,0.8,Cancer1
Blautia,0.08630674388193538,4.3244378535357656e-10,3108,1818,Blautia,0.8,Cancer1
Butyricicoccus,0.005791145152251075,9.800947319431992e-11,1915,1442,Butyricicoccus,0.8,Cancer1
Butyricimonas,0.0020549224733794136,0.06562068234321043,1322,1145,Butyricimonas,0.8,Cancer1
Collinsella,0.004109844946758827,2.379063785326949e-10,2629,1587,Collinsella,0.8,Cancer1
Desulfovibrio,0.002802167009153746,0.0147355702286513,1739,1384,Desulfovibrio,0.8,Cancer1
Dorea,0.01475807958154306,3.9182097750630473e-10,2368,1614,Dorea,0.8,Cancer1
Enterococcus,0.0016813002054922473,1.636849637024154e-10,2570,1790,Enterococcus,0.8,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.0035961690607750826,2826,1639,Erysipelatoclostridium,0.8,Cancer1
Faecalibacterium,0.014571268447599478,1.6715381542854576e-10,1986,1472,Faecalibacterium,0.8,Cancer1
Gemella,0.0003736222678871661,0.00024688728532831804,1127,971,Gemella,0.8,Cancer1
Haemophilus,0.005604334018307492,0.17894965675918723,1504,1246,Haemophilus,0.8,Cancer1
Lachnoclostridium,0.0033626004109844946,1.5780598485898307e-10,3174,1970,Lachnoclostridium,0.8,Cancer1
Lachnospira,0.003923033812815244,1.0358843524217914e-10,1163,1052,Lachnospira,0.8,Cancer1
Listeria,0.0018681113394358306,4.593727535412886e-10,1703,1336,Listeria,0.8,Cancer1
Mogibacterium,0.0003736222678871661,0.0008356576757028775,955,913,Mogibacterium,0.8,Cancer1
Neisseria,0.0033626004109844946,0.10737204902079771,1329,1106,Neisseria,0.8,Cancer1
Odoribacter,0.0076592564916869044,0.2445649978848754,2526,1594,Odoribacter,0.8,Cancer1
Parabacteroides,0.0110218569026714,0.11565583725061368,2870,1747,Parabacteroides,0.8,Cancer1
Parasutterella,0.003736222678871661,0.11929954394258035,1080,1019,Parasutterella,0.8,Cancer1
Phascolarctobacterium,0.04950495049504951,4.277987948368411e-10,1019,945,Phascolarctobacterium,0.8,Cancer1
Pseudomonas,0.0014944890715486644,0.048273523083316686,2184,1588,Pseudomonas,0.8,Cancer1
Roseburia,0.025406314216327296,4.5803940853580003e-11,2357,1567,Roseburia,0.8,Cancer1
Staphylococcus,0.00429665608070241,2.1037549281054323e-11,2002,1482,Staphylococcus,0.8,Cancer1
Streptococcus,0.012703157108163648,6.267122426731767e-12,2896,1822,Streptococcus,0.8,Cancer1
Subdoligranulum,0.03512049318139362,1.8883785090485042e-10,1731,1301,Subdoligranulum,0.8,Cancer1
Veillonella,0.01232953484027648,0.054954997195547035,1832,1405,Veillonella,0.8,Cancer1
Acinetobacter,0.0022417336073229967,0.002723807566864192,1867,1422,Acinetobacter,0.7000000000000001,Cancer1
Actinomyces,0.0020549224733794136,0.0024837284250219375,2445,1643,Actinomyces,0.7000000000000001,Cancer1
Akkermansia,0.04539510554829068,0.042412821097101046,2274,1386,Akkermansia,0.7000000000000001,Cancer1
Alistipes,0.04838408369138801,0.055465540247893214,2650,1613,Alistipes,0.7000000000000001,Cancer1
Anaerostipes,0.015505324117317391,0.016635660699696537,2034,1491,Anaerostipes,0.7000000000000001,Cancer1
Atopobium,0.0007472445357743322,0.0009005403374101147,1192,1035,Atopobium,0.7000000000000001,Cancer1
Bacillus,0.0016813002054922473,0.0019374260416339642,2334,1654,Bacillus,0.7000000000000001,Cancer1
Bacteroides,0.5538950121427237,0.5888312826107158,3307,1887,Bacteroides,0.7000000000000001,Cancer1
Bifidobacterium,0.01475807958154306,0.016919540064549387,3108,1734,Bifidobacterium,0.7000000000000001,Cancer1
Bilophila,0.0005604334018307492,0.003766679737881135,1386,1194,Bilophila,0.7000000000000001,Cancer1
Blautia,0.08630674388193538,0.08980585690474444,3108,1818,Blautia,0.7000000000000001,Cancer1
Butyricicoccus,0.005791145152251075,0.008630086869165526,1915,1442,Butyricicoccus,0.7000000000000001,Cancer1
Butyricimonas,0.0020549224733794136,0.0025030368374338603,1322,1145,Butyricimonas,0.7000000000000001,Cancer1
Collinsella,0.004109844946758827,0.004569623636923238,2629,1587,Collinsella,0.7000000000000001,Cancer1
Desulfovibrio,0.002802167009153746,0.0031769571995932024,1739,1384,Desulfovibrio,0.7000000000000001,Cancer1
Dorea,0.01475807958154306,0.015322960534859818,2368,1614,Dorea,0.7000000000000001,Cancer1
Enterococcus,0.0016813002054922473,0.001952428814200633,2570,1790,Enterococcus,0.7000000000000001,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.0006756290842094649,2826,1639,Erysipelatoclostridium,0.7000000000000001,Cancer1
Faecalibacterium,0.014571268447599478,0.015692301007170006,1986,1472,Faecalibacterium,0.7000000000000001,Cancer1
Gemella,0.0003736222678871661,0.0004594062866794883,1127,971,Gemella,0.7000000000000001,Cancer1
Haemophilus,0.005604334018307492,0.00676261698274911,1504,1246,Haemophilus,0.7000000000000001,Cancer1
Lachnoclostridium,0.0033626004109844946,0.003856655159665053,3174,1970,Lachnoclostridium,0.7000000000000001,Cancer1
Lachnospira,0.003923033812815244,0.007259758458401,1163,1052,Lachnospira,0.7000000000000001,Cancer1
Listeria,0.0018681113394358306,0.002171195391201449,1703,1336,Listeria,0.7000000000000001,Cancer1
Mogibacterium,0.0003736222678871661,0.004632521093203123,955,913,Mogibacterium,0.7000000000000001,Cancer1
Neisseria,0.0033626004109844946,0.004082055852881609,1329,1106,Neisseria,0.7000000000000001,Cancer1
Odoribacter,0.0076592564916869044,0.00889282766831911,2526,1594,Odoribacter,0.7000000000000001,Cancer1
Parabacteroides,0.0110218569026714,0.012408499917839122,2870,1747,Parabacteroides,0.7000000000000001,Cancer1
Parasutterella,0.003736222678871661,0.010217159901247205,1080,1019,Parasutterella,0.7000000000000001,Cancer1
Phascolarctobacterium,0.04950495049504951,0.05148591315618023,1019,945,Phascolarctobacterium,0.7000000000000001,Cancer1
Pseudomonas,0.0014944890715486644,0.0018285420337861256,2184,1588,Pseudomonas,0.7000000000000001,Cancer1
Roseburia,0.025406314216327296,0.027052031192732584,2357,1567,Roseburia,0.7000000000000001,Cancer1
Staphylococcus,0.00429665608070241,0.004785566689220424,2002,1482,Staphylococcus,0.7000000000000001,Cancer1
Streptococcus,0.012703157108163648,0.013390596075957118,2896,1822,Streptococcus,0.7000000000000001,Cancer1
Subdoligranulum,0.03512049318139362,0.03645988389873266,1731,1301,Subdoligranulum,0.7000000000000001,Cancer1
Veillonella,0.01232953484027648,0.013965920514339857,1832,1405,Veillonella,0.7000000000000001,Cancer1
Acinetobacter,0.0022417336073229967,0.002041006721535365,1867,1422,Acinetobacter,0.6,Cancer1
Actinomyces,0.0020549224733794136,0.0018709207580507703,2445,1643,Actinomyces,0.6,Cancer1
Akkermansia,0.04539510554829068,0.04190674221699063,2274,1386,Akkermansia,0.6,Cancer1
Alistipes,0.04838408369138801,0.04405166944289383,2650,1613,Alistipes,0.6,Cancer1
Anaerostipes,0.015505324117317391,0.014116923570162738,2034,1491,Anaerostipes,0.6,Cancer1
Atopobium,0.0007472445357743322,0.0006803382711311845,1192,1035,Atopobium,0.6,Cancer1
Bacillus,0.0016813002054922473,0.0015307536381856661,2334,1654,Bacillus,0.6,Cancer1
Bacteroides,0.5538950121427237,0.5042965866181686,3307,1887,Bacteroides,0.6,Cancer1
Bifidobacterium,0.01475807958154306,0.013436593543405194,3108,1734,Bifidobacterium,0.6,Cancer1
Bilophila,0.0005604334018307492,0.0032022815585987276,1386,1194,Bilophila,0.6,Cancer1
Blautia,0.08630674388193538,0.0785784062426517,3108,1818,Blautia,0.6,Cancer1
Butyricicoccus,0.005791145152251075,0.006767904957794058,1915,1442,Butyricicoccus,0.6,Cancer1
Butyricimonas,0.0020549224733794136,0.0018709216488480263,1322,1145,Butyricimonas,0.6,Cancer1
Collinsella,0.004109844946758827,0.003741840922227638,2629,1587,Collinsella,0.6,Cancer1
Desulfovibrio,0.002802167009153746,0.002551258649673936,1739,1384,Desulfovibrio,0.6,Cancer1
Dorea,0.01475807958154306,0.013436595395106466,2368,1614,Dorea,0.6,Cancer1
Enterococcus,0.0016813002054922473,0.001530755105557116,2570,1790,Enterococcus,0.6,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.0005102552513331231,2826,1639,Erysipelatoclostridium,0.6,Cancer1
Faecalibacterium,0.014571268447599478,0.013266506977212355,1986,1472,Faecalibacterium,0.6,Cancer1
Gemella,0.0003736222678871661,0.0003401731013798441,1127,971,Gemella,0.6,Cancer1
Haemophilus,0.005604334018307492,0.005102511097893734,1504,1246,Haemophilus,0.6,Cancer1
Lachnoclostridium,0.0033626004109844946,0.0030615056738745043,3174,1970,Lachnoclostridium,0.6,Cancer1
Lachnospira,0.003923033812815244,0.0055391807656996975,1163,1052,Lachnospira,0.6,Cancer1
Listeria,0.0018681113394358306,0.0017008429392378279,1703,1336,Listeria,0.6,Cancer1
Mogibacterium,0.0003736222678871661,0.003807510157183323,955,913,Mogibacterium,0.6,Cancer1
Neisseria,0.0033626004109844946,0.0030615088520571294,1329,1106,Neisseria,0.6,Cancer1
Odoribacter,0.0076592564916869044,0.0069734304998859105,2526,1594,Odoribacter,0.6,Cancer1
Parabacteroides,0.0110218569026714,0.010034926645562606,2870,1747,Parabacteroides,0.6,Cancer1
Parasutterella,0.003736222678871661,0.006533069485535378,1080,1019,Parasutterella,0.6,Cancer1
Phascolarctobacterium,0.04950495049504951,0.04507203327825282,1019,945,Phascolarctobacterium,0.6,Cancer1
Pseudomonas,0.0014944890715486644,0.0013606735128425746,2184,1588,Pseudomonas,0.6,Cancer1
Roseburia,0.025406314216327296,0.023131322132503893,2357,1567,Roseburia,0.6,Cancer1
Staphylococcus,0.00429665608070241,0.00391192311120503,2002,1482,Staphylococcus,0.6,Cancer1
Streptococcus,0.012703157108163648,0.0115656697673452,2896,1822,Streptococcus,0.6,Cancer1
Subdoligranulum,0.03512049318139362,0.031975632448483594,1731,1301,Subdoligranulum,0.6,Cancer1
Veillonella,0.01232953484027648,0.011225510514278893,1832,1405,Veillonella,0.6,Cancer1
Acinetobacter,0.0022417336073229967,0.0017033358352564973,1867,1422,Acinetobacter,0.5,Cancer1
Actinomyces,0.0020549224733794136,0.0015585560793685471,2445,1643,Actinomyces,0.5,Cancer1
Akkermansia,0.04539510554829068,0.03703878720653663,2274,1386,Akkermansia,0.5,Cancer1
Alistipes,0.04838408369138801,0.03670018186759976,2650,1613,Alistipes,0.5,Cancer1
Anaerostipes,0.015505324117317391,0.011760435312608371,2034,1491,Anaerostipes,0.5,Cancer1
Atopobium,0.0007472445357743322,0.0005677408782083361,1192,1035,Atopobium,0.5,Cancer1
Bacillus,0.0016813002054922473,0.0012757386488988888,2334,1654,Bacillus,0.5,Cancer1
Bacteroides,0.5538950121427237,0.4200672324715101,3307,1887,Bacteroides,0.5,Cancer1
Bifidobacterium,0.01475807958154306,0.011193467372499254,3108,1734,Bifidobacterium,0.5,Cancer1
Bilophila,0.0005604334018307492,0.0033865425871767297,1386,1194,Bilophila,0.5,Cancer1
Blautia,0.08630674388193538,0.06545681232578927,3108,1818,Blautia,0.5,Cancer1
Butyricicoccus,0.005791145152251075,0.006966715618569711,1915,1442,Butyricicoccus,0.5,Cancer1
Butyricimonas,0.0020549224733794136,0.0015589479282386736,1322,1145,Butyricimonas,0.5,Cancer1
Collinsella,0.004109844946758827,0.003120461198383302,2629,1587,Collinsella,0.5,Cancer1
Desulfovibrio,0.002802167009153746,0.002132732724783766,1739,1384,Desulfovibrio,0.5,Cancer1
Dorea,0.01475807958154306,0.011197615723680266,2368,1614,Dorea,0.5,Cancer1
Enterococcus,0.0016813002054922473,0.001277151109324331,2570,1790,Enterococcus,0.5,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.0004255786315417604,2826,1639,Erysipelatoclostridium,0.5,Cancer1
Faecalibacterium,0.014571268447599478,0.011052761030580439,1986,1472,Faecalibacterium,0.5,Cancer1
Gemella,0.0003736222678871661,0.0002835236367112314,1127,971,Gemella,0.5,Cancer1
Haemophilus,0.005604334018307492,0.004252205845601446,1504,1246,Haemophilus,0.5,Cancer1
Lachnoclostridium,0.0033626004109844946,0.0025521751410819164,3174,1970,Lachnoclostridium,0.5,Cancer1
Lachnospira,0.003923033812815244,0.004893842264829716,1163,1052,Lachnospira,0.5,Cancer1
Listeria,0.0018681113394358306,0.0014237824949870947,1703,1336,Listeria,0.5,Cancer1
Mogibacterium,0.0003736222678871661,0.004833791777103,955,913,Mogibacterium,0.5,Cancer1
Neisseria,0.0033626004109844946,0.002553744950972231,1329,1106,Neisseria,0.5,Cancer1
Odoribacter,0.0076592564916869044,0.0058113373252274255,2526,1594,Odoribacter,0.5,Cancer1
Parabacteroides,0.0110218569026714,0.008359891938103383,2870,1747,Parabacteroides,0.5,Cancer1
Parasutterella,0.003736222678871661,0.008551808179081811,1080,1019,Parasutterella,0.5,Cancer1
Phascolarctobacterium,0.04950495049504951,0.03754805516384637,1019,945,Phascolarctobacterium,0.5,Cancer1
Pseudomonas,0.0014944890715486644,0.0011373498719128173,2184,1588,Pseudomonas,0.5,Cancer1
Roseburia,0.025406314216327296,0.019267623695229153,2357,1567,Roseburia,0.5,Cancer1
Staphylococcus,0.00429665608070241,0.003258605541030005,2002,1482,Staphylococcus,0.5,Cancer1
Streptococcus,0.012703157108163648,0.009633625687820275,2896,1822,Streptococcus,0.5,Cancer1
Subdoligranulum,0.03512049318139362,0.02663626623293447,1731,1301,Subdoligranulum,0.5,Cancer1
Veillonella,0.01232953484027648,0.009350773222369851,1832,1405,Veillonella,0.5,Cancer1
Acinetobacter,0.0022417336073229967,0.0007079440468186775,1867,1422,Acinetobacter,0.4,Cancer1
Actinomyces,0.0020549224733794136,0.0006622882547726308,2445,1643,Actinomyces,0.4,Cancer1
Akkermansia,0.04539510554829068,4.610844422930182e-05,2274,1386,Akkermansia,0.4,Cancer1
Alistipes,0.04838408369138801,0.006563201391079653,2650,1613,Alistipes,0.4,Cancer1
Anaerostipes,0.015505324117317391,7.353600575899702e-06,2034,1491,Anaerostipes,0.4,Cancer1
Atopobium,0.0007472445357743322,0.00021920906058872178,1192,1035,Atopobium,0.4,Cancer1
Bacillus,0.0016813002054922473,0.00011797836235847984,2334,1654,Bacillus,0.4,Cancer1
Bacteroides,0.5538950121427237,0.35497005931832065,3307,1887,Bacteroides,0.4,Cancer1
Bifidobacterium,0.01475807958154306,0.0013113926416972231,3108,1734,Bifidobacterium,0.4,Cancer1
Bilophila,0.0005604334018307492,0.0029416943364902444,1386,1194,Bilophila,0.4,Cancer1
Blautia,0.08630674388193538,2.277520563296005e-05,3108,1818,Blautia,0.4,Cancer1
Butyricicoccus,0.005791145152251075,0.0018162763723928328,1915,1442,Butyricicoccus,0.4,Cancer1
Butyricimonas,0.0020549224733794136,0.0007324285244230675,1322,1145,Butyricimonas,0.4,Cancer1
Collinsella,0.004109844946758827,1.3973832763713609e-05,2629,1587,Collinsella,0.4,Cancer1
Desulfovibrio,0.002802167009153746,2.8684335258620397e-05,1739,1384,Desulfovibrio,0.4,Cancer1
Dorea,0.01475807958154306,0.0009329270131074473,2368,1614,Dorea,0.4,Cancer1
Enterococcus,0.0016813002054922473,0.00017820020943740855,2570,1790,Enterococcus,0.4,Cancer1
Erysipelatoclostridium,0.0005604334018307492,0.00015680213417614924,2826,1639,Erysipelatoclostridium,0.4,Cancer1
Faecalibacterium,0.014571268447599478,0.0007661504811271989,1986,1472,Faecalibacterium,0.4,Cancer1
Gemella,0.0003736222678871661,0.0001420126747458737,1127,971,Gemella,0.4,Cancer1
Haemophilus,0.005604334018307492,0.0017595902446807471,1504,1246,Haemophilus,0.4,Cancer1
Lachnoclostridium,0.0033626004109844946,0.00023349090250920847,3174,1970,Lachnoclostridium,0.4,Cancer1
Lachnospira,0.003923033812815244,0.002622815316456806,1163,1052,Lachnospira,0.4,Cancer1
Listeria,0.0018681113394358306,0.00021852777971326026,1703,1336,Listeria,0.4,Cancer1
Mogibacterium,0.0003736222678871661,0.0042500035081358715,955,913,Mogibacterium,0.4,Cancer1
Neisseria,0.0033626004109844946,0.0010566495629511102,1329,1106,Neisseria,0.4,Cancer1
Odoribacter,0.0076592564916869044,0.002048248546583679,2526,1594,Odoribacter,0.4,Cancer1
Parabacteroides,0.0110218569026714,0.0006252783110230447,2870,1747,Parabacteroides,0.4,Cancer1
Parasutterella,0.003736222678871661,0.005001292433944214,1080,1019,Parasutterella,0.4,Cancer1
Phascolarctobacterium,0.04950495049504951,2.234587638781373e-05,1019,945,Phascolarctobacterium,0.4,Cancer1
Pseudomonas,0.0014944890715486644,0.0005359089408486684,2184,1588,Pseudomonas,0.4,Cancer1
Roseburia,0.025406314216327296,2.7661568234521297e-06,2357,1567,Roseburia,0.4,Cancer1
Staphylococcus,0.00429665608070241,0.00037904892006160714,2002,1482,Staphylococcus,0.4,Cancer1
Streptococcus,0.012703157108163648,2.9246702430457296e-07,2896,1822,Streptococcus,0.4,Cancer1
Subdoligranulum,0.03512049318139362,9.8669979477022e-06,1731,1301,Subdoligranulum,0.4,Cancer1
Veillonella,0.01232953484027648,0.000766182983160954,1832,1405,Veillonella,0.4,Cancer1
Acinetobacter,0.0022417336073229967,0.0007094321905493437,1867,1422,Acinetobacter,0.30000000000000004,Cancer1
Actinomyces,0.0020549224733794136,0.0006498645809913717,2445,1643,Actinomyces,0.30000000000000004,Cancer1
Akkermansia,0.04539510554829068,5.3795631667378145e-06,2274,1386,Akkermansia,0.30000000000000004,Cancer1
Alistipes,0.04838408369138801,0.008958785265377033,2650,1613,Alistipes,0.30000000000000004,Cancer1
